iter	Passed	Remaining
0	102	101935
1	103	51646
2	104	34785
3	106	26400
4	107	21336
5	108	17936
6	109	15507
7	110	13732
8	112	12394
9	113	11259
10	115	10346
11	116	9590
12	117	8944
13	119	8394
14	120	7907
15	121	7489
16	123	7116
17	124	6772
18	125	6472
19	126	6213
20	128	6013
21	130	5822
22	132	5620
23	133	5440
24	135	5268
25	136	5107
26	137	4950
27	138	4804
28	139	4680
29	141	4574
30	143	4479
31	144	4373
32	146	4280
33	147	4185
34	148	4094
35	149	4009
36	150	3926
37	152	3850
38	153	3773
39	154	3701
40	155	3636
41	157	3583
42	158	3526
43	159	3473
44	161	3424
45	162	3374
46	164	3329
47	165	3280
48	166	3231
49	167	3188
50	169	3151
51	170	3113
52	172	3075
53	173	3036
54	174	2998
55	175	2958
56	176	2921
57	178	2893
58	179	2858
59	180	2824
60	181	2789
61	182	2757
62	183	2725
63	184	2698
64	185	2674
65	187	2650
66	188	2622
67	188	2588
68	189	2561
69	190	2534
70	191	2508
71	192	2483
72	193	2462
73	194	2439
74	195	2416
75	196	2394
76	198	2377
77	199	2361
78	200	2342
79	202	2324
80	203	2305
81	204	2289
82	205	2272
83	206	2253
84	207	2232
85	208	2215
86	209	2196
87	210	2183
88	211	2168
89	213	2155
90	214	2142
91	215	2130
92	217	2116
93	218	2102
94	219	2088
95	220	2075
96	221	2063
97	222	2050
98	223	2036
99	224	2022
100	225	2009
101	226	1992
102	227	1979
103	228	1969
104	229	1959
105	231	1948
106	232	1937
107	233	1925
108	234	1913
109	235	1903
110	236	1893
111	237	1883
112	238	1872
113	239	1861
114	240	1850
115	241	1838
116	242	1828
117	243	1820
118	244	1812
119	246	1804
120	247	1795
121	248	1786
122	248	1773
123	249	1764
124	251	1759
125	252	1752
126	253	1743
127	254	1732
128	255	1725
129	256	1717
130	258	1711
131	259	1707
132	261	1701
133	262	1694
134	263	1686
135	264	1679
136	265	1672
137	266	1664
138	267	1657
139	268	1650
140	269	1642
141	270	1635
142	271	1627
143	272	1621
144	274	1618
145	275	1613
146	276	1607
147	278	1601
148	279	1594
149	280	1588
150	281	1581
151	282	1575
152	283	1570
153	284	1565
154	286	1559
155	287	1555
156	288	1549
157	289	1545
158	291	1539
159	292	1533
160	293	1527
161	294	1521
162	295	1516
163	296	1511
164	297	1506
165	298	1500
166	299	1494
167	300	1488
168	301	1483
169	302	1479
170	304	1475
171	305	1470
172	306	1464
173	307	1459
174	308	1454
175	309	1450
176	310	1445
177	311	1440
178	312	1435
179	313	1430
180	314	1422
181	315	1418
182	316	1414
183	318	1410
184	319	1406
185	320	1401
186	321	1397
187	322	1392
188	323	1387
189	324	1384
190	325	1380
191	326	1375
192	327	1370
