iter	Passed	Remaining
0	142	141909
1	143	71548
2	144	48045
3	145	36328
4	147	29355
5	148	24682
6	150	21337
7	151	18835
8	153	16855
9	154	15281
10	155	13993
11	156	12916
12	158	12003
13	159	11221
14	160	10554
15	162	9965
16	163	9435
17	164	8991
18	166	8578
19	167	8213
20	169	7887
21	170	7585
22	172	7309
23	173	7067
24	175	6833
25	176	6610
26	177	6414
27	179	6228
28	180	6046
29	181	5878
30	182	5719
31	184	5572
32	185	5433
33	186	5303
34	187	5181
35	189	5064
36	190	4952
37	191	4848
38	192	4753
39	194	4662
40	195	4573
41	197	4495
42	198	4412
43	199	4334
44	200	4260
45	202	4190
46	203	4122
47	204	4056
48	206	4010
49	207	3951
50	209	3900
51	210	3844
52	212	3789
53	213	3737
54	214	3687
55	215	3638
56	217	3590
57	218	3543
58	219	3499
59	221	3464
60	222	3420
61	223	3379
62	224	3338
63	225	3300
64	226	3264
65	228	3229
66	229	3195
67	230	3161
68	231	3128
69	233	3096
70	234	3071
71	236	3043
72	237	3012
73	238	2981
74	239	2952
75	240	2924
76	241	2897
77	242	2871
78	244	2847
79	245	2822
80	246	2797
81	247	2776
82	250	2762
83	251	2739
84	252	2716
85	253	2695
86	254	2674
87	256	2654
88	257	2634
89	258	2615
90	259	2595
91	261	2577
92	262	2560
93	264	2545
94	265	2528
95	266	2510
96	267	2493
97	269	2479
98	270	2463
99	271	2447
100	273	2429
101	274	2413
102	276	2405
103	277	2394
104	280	2392
105	282	2385
106	284	2374
107	286	2366
108	287	2352
109	289	2339
110	290	2330
111	292	2319
112	294	2310
113	296	2302
114	297	2290
115	299	2280
116	300	2267
117	301	2255
118	302	2242
119	304	2229
120	305	2221
121	307	2210
122	308	2202
123	310	2196
124	312	2186
125	314	2178
126	315	2169
127	316	2158
128	318	2150
129	320	2142
130	321	2134
131	324	2130
132	325	2122
133	327	2113
134	328	2105
135	330	2098
136	331	2089
137	333	2082
138	335	2079
139	337	2074
140	339	2068
141	340	2058
142	342	2050
143	343	2042
144	345	2034
145	346	2025
146	347	2016
147	349	2009
148	352	2013
149	354	2006
150	356	2005
151	358	2000
152	363	2011
153	366	2012
154	367	2004
155	369	1998
156	370	1990
157	372	1982
158	373	1975
159	375	1970
160	376	1960
161	377	1952
162	379	1946
163	381	1943
164	382	1937
165	384	1929
166	385	1924
167	387	1918
168	388	1911
169	390	1904
170	391	1899
171	393	1892
172	394	1886
173	396	1882
174	397	1875
175	399	1870
176	401	1868
177	403	1864
178	405	1858
179	406	1851
180	408	1846
181	410	1843
182	411	1837
183	412	1831
184	414	1827
185	416	1822
186	417	1815
187	418	1808
188	419	1801
189	421	1795
190	422	1789
191	424	1786
192	426	1781
193	427	1775
194	429	1773
195	430	1767
196	432	1761
197	433	1756
198	435	1751
199	436	1746
200	437	1740
201	440	1739
202	441	1734
203	443	1730
204	445	1726
205	446	1722
206	448	1717
207	449	1712
208	451	1708
209	454	1709
210	458	1714
211	461	1716
212	463	1714
213	465	1709
214	468	1710
215	470	1709
216	472	1705
217	473	1700
218	476	1699
219	479	1699
220	483	1705
221	497	1745
222	499	1740
223	501	1737
224	503	1732
225	504	1727
226	506	1723
227	508	1720
228	509	1715
229	511	1713
230	513	1710
231	515	1707
232	517	1703
233	518	1698
234	520	1694
235	521	1689
236	523	1684
237	524	1679
238	526	1676
239	528	1674
240	529	1668
241	531	1663
242	532	1658
243	534	1654
244	535	1651
245	537	1646
246	538	1641
247	539	1636
248	541	1634
249	543	1630
250	544	1625
251	546	1621
252	547	1617
253	549	1613
254	551	1610
255	552	1606
256	556	1607
257	557	1603
258	559	1599
259	560	1596
260	562	1592
261	564	1589
262	565	1585
263	567	1582
264	569	1578
265	571	1575
266	572	1572
267	574	1569
268	577	1569
269	579	1565
270	581	1564
271	583	1561
272	585	1558
273	586	1555
274	589	1552
275	590	1549
276	592	1546
277	594	1543
278	596	1540
279	597	1536
280	599	1534
281	601	1530
282	602	1526
283	603	1522
284	604	1517
285	606	1513
286	607	1509
287	608	1505
288	609	1500
289	611	1496
290	612	1492
291	614	1489
292	615	1485
293	617	1482
294	619	1479
295	620	1476
296	621	1471
297	623	1467
298	624	1463
299	625	1459
300	626	1455
301	628	1452
302	629	1448
303	630	1444
304	632	1440
305	633	1436
306	634	1432
307	635	1427
308	636	1423
309	637	1419
310	638	1415
311	640	1411
312	641	1407
313	643	1405
314	644	1402
315	646	1399
316	648	1396
317	649	1393
318	651	1389
319	652	1387
320	654	1383
321	655	1380
322	656	1376
323	658	1374
324	660	1370
325	661	1367
326	662	1364
327	663	1360
328	664	1356
329	665	1352
330	666	1347
331	667	1343
332	668	1339
333	669	1335
334	671	1332
335	672	1328
336	673	1325
337	674	1321
338	676	1318
339	677	1314
340	678	1310
341	679	1306
342	680	1303
343	681	1300
344	683	1297
345	684	1293
346	685	1290
347	687	1287
348	688	1284
349	689	1280
350	690	1276
351	691	1272
352	692	1269
353	693	1265
354	694	1261
355	695	1258
356	696	1254
357	697	1251
358	698	1247
359	700	1244
360	702	1242
361	703	1239
362	704	1236
363	705	1232
364	706	1229
365	707	1226
366	709	1223
367	710	1220
368	711	1216
369	712	1213
370	713	1210
371	715	1207
372	717	1205
373	718	1202
374	719	1198
375	720	1195
376	721	1191
377	722	1188
378	723	1185
379	724	1182
380	726	1179
381	727	1176
382	728	1174
383	730	1171
384	731	1168
385	732	1165
386	734	1162
387	735	1159
388	736	1156
389	737	1153
390	738	1150
391	739	1147
392	741	1144
393	742	1141
394	743	1139
395	745	1136
396	746	1133
397	747	1130
398	748	1127
399	749	1124
400	751	1122
401	752	1119
402	753	1116
403	755	1114
404	756	1111
405	757	1108
406	758	1105
407	760	1102
408	761	1100
409	762	1097
410	763	1094
411	765	1091
412	766	1089
413	767	1086
414	768	1083
415	770	1080
416	771	1078
417	772	1075
418	773	1072
419	775	1070
420	776	1067
421	777	1065
422	778	1062
423	780	1059
424	781	1057
425	782	1054
426	783	1051
427	784	1048
428	785	1045
429	786	1043
430	788	1040
431	789	1038
432	790	1035
433	792	1033
434	793	1030
435	794	1028
436	796	1025
437	797	1023
438	798	1020
439	800	1018
440	801	1015
441	802	1013
442	804	1011
443	805	1009
444	807	1006
445	808	1004
446	809	1001
447	810	998
448	811	996
449	813	993
450	814	991
451	815	988
452	816	986
453	818	984
454	819	981
455	820	979
456	822	977
457	823	974
458	825	972
459	826	970
460	827	967
461	828	965
462	830	962
463	831	960
464	833	958
465	834	956
466	835	953
467	836	951
468	838	948
469	839	946
470	840	943
471	842	941
472	843	939
473	844	937
474	846	935
475	848	933
476	849	931
477	851	929
478	852	927
479	854	925
480	855	923
481	857	921
482	858	918
483	859	916
484	860	914
485	862	911
486	863	909
487	864	907
488	865	904
489	867	902
490	868	900
491	869	897
492	870	895
493	871	892
494	872	890
495	873	888
496	875	885
497	876	883
498	877	881
499	879	879
500	880	877
501	882	874
502	883	873
503	885	871
504	886	869
505	888	867
506	890	866
507	892	863
508	893	861
509	894	859
510	895	857
511	896	854
512	898	852
513	899	850
514	900	848
515	902	846
516	903	844
517	905	842
518	906	840
519	907	838
520	909	835
521	910	833
522	911	831
523	912	829
524	914	827
525	915	824
526	916	822
527	917	820
528	919	818
529	920	816
530	922	814
531	923	812
532	924	809
533	925	807
534	927	805
535	928	803
536	929	801
537	930	799
538	932	797
539	933	795
540	935	793
541	936	791
542	938	789
543	939	787
544	940	785
545	942	783
546	943	781
547	944	778
548	945	776
549	946	774
550	949	773
551	950	771
552	951	769
553	953	767
554	954	765
555	955	763
556	956	760
557	957	758
558	958	756
559	959	754
560	960	751
561	962	749
562	963	747
563	964	745
564	965	743
565	967	741
566	968	739
567	969	737
568	970	735
569	971	733
570	973	731
571	975	729
572	976	727
573	978	725
574	979	723
575	980	721
576	982	719
577	983	717
578	984	715
579	985	713
580	987	711
581	988	709
582	989	707
583	992	707
584	994	705
585	996	703
586	997	701
587	999	700
588	1000	698
589	1001	696
590	1004	694
591	1005	693
592	1007	691
593	1008	689
594	1009	687
595	1011	685
596	1012	683
597	1013	681
598	1015	679
599	1016	677
600	1017	675
601	1019	674
602	1021	672
603	1022	670
604	1023	668
605	1025	666
606	1026	664
607	1027	662
608	1029	660
609	1030	659
610	1032	657
611	1033	655
612	1035	653
613	1036	651
614	1038	650
615	1039	648
616	1041	646
617	1042	644
618	1043	642
619	1045	640
620	1046	638
621	1048	637
622	1050	635
623	1052	633
624	1053	632
625	1054	630
626	1058	629
627	1060	628
628	1062	626
629	1064	625
630	1065	623
631	1067	621
632	1069	619
633	1070	617
634	1071	615
635	1072	614
636	1074	612
637	1076	610
638	1077	608
639	1079	607
640	1081	605
641	1082	603
642	1084	601
643	1085	600
644	1086	598
645	1088	596
646	1089	594
647	1091	593
648	1093	591
649	1095	589
650	1096	588
651	1098	586
652	1099	584
653	1100	582
654	1102	580
655	1103	578
656	1105	577
657	1106	575
658	1108	573
659	1109	571
660	1110	569
661	1112	567
662	1113	565
663	1114	564
664	1116	562
665	1117	560
666	1118	558
667	1120	556
668	1121	554
669	1122	552
670	1124	551
671	1125	549
672	1126	547
673	1128	545
674	1129	543
675	1130	541
676	1132	540
677	1133	538
678	1135	536
679	1136	534
680	1137	532
681	1139	531
682	1140	529
683	1141	527
684	1142	525
685	1144	523
686	1145	521
687	1146	519
688	1147	518
689	1149	516
690	1150	514
691	1152	512
692	1153	511
693	1155	509
694	1156	507
695	1158	505
696	1159	504
697	1160	502
698	1161	500
699	1163	498
700	1164	496
701	1166	495
702	1167	493
703	1169	491
704	1171	490
705	1173	488
706	1174	486
707	1175	484
708	1177	483
709	1179	481
710	1182	480
711	1184	479
712	1185	477
713	1186	475
714	1188	473
715	1189	471
716	1191	470
717	1195	469
718	1197	468
719	1200	466
720	1201	465
721	1203	463
722	1204	461
723	1205	459
724	1207	457
725	1208	456
726	1210	454
727	1211	452
728	1212	450
729	1213	448
730	1215	447
731	1216	445
732	1217	443
733	1218	441
734	1220	439
735	1221	438
736	1222	436
737	1224	434
738	1225	432
739	1227	431
740	1228	429
741	1229	427
742	1230	425
743	1231	423
744	1233	422
745	1234	420
746	1235	418
747	1237	416
748	1238	415
749	1240	413
750	1241	411
751	1243	410
752	1244	408
753	1246	406
754	1247	404
755	1248	403
756	1250	401
757	1251	399
758	1253	397
759	1254	396
760	1255	394
761	1257	392
762	1258	390
763	1259	389
764	1260	387
765	1262	385
766	1263	383
767	1266	382
768	1268	380
769	1270	379
770	1271	377
771	1273	375
772	1274	374
773	1275	372
774	1276	370
775	1278	368
776	1279	367
777	1280	365
778	1282	363
779	1283	362
780	1285	360
781	1286	358
782	1287	356
783	1289	355
784	1290	353
785	1291	351
786	1293	350
787	1294	348
788	1295	346
789	1297	344
790	1298	343
791	1299	341
792	1300	339
793	1301	337
794	1304	336
795	1306	334
796	1308	333
797	1309	331
798	1313	330
799	1314	328
800	1316	327
801	1317	325
802	1318	323
803	1320	321
804	1321	320
805	1322	318
806	1324	316
807	1325	315
808	1327	313
809	1328	311
810	1329	309
811	1330	308
812	1332	306
813	1333	304
814	1334	302
815	1335	301
816	1336	299
817	1338	297
818	1339	295
819	1340	294
820	1342	292
821	1343	290
822	1344	289
823	1346	287
824	1347	285
825	1349	284
826	1350	282
827	1351	280
828	1353	279
829	1354	277
830	1355	275
831	1357	274
832	1358	272
833	1359	270
834	1360	268
835	1361	267
836	1362	265
837	1364	263
838	1365	262
839	1366	260
840	1367	258
841	1368	256
842	1370	255
843	1371	253
844	1373	251
845	1374	250
846	1375	248
847	1376	246
848	1377	245
849	1378	243
850	1380	241
851	1381	239
852	1382	238
853	1384	236
854	1385	235
855	1387	233
856	1389	231
857	1390	230
858	1391	228
859	1393	226
860	1395	225
861	1396	223
862	1397	221
863	1399	220
864	1401	218
865	1402	217
866	1404	215
867	1405	213
868	1406	212
869	1408	210
870	1409	208
871	1410	207
872	1411	205
873	1413	203
874	1414	202
875	1415	200
876	1416	198
877	1418	197
878	1419	195
879	1420	193
880	1422	192
881	1423	190
882	1424	188
883	1425	187
884	1427	185
885	1428	183
886	1429	182
887	1430	180
888	1431	178
889	1432	177
890	1433	175
891	1434	173
892	1436	172
893	1437	170
894	1438	168
895	1440	167
896	1441	165
897	1442	163
898	1444	162
899	1445	160
900	1446	158
901	1448	157
902	1449	155
903	1450	154
904	1452	152
905	1453	150
906	1454	149
907	1456	147
908	1457	145
909	1458	144
910	1459	142
911	1460	140
912	1462	139
913	1463	137
914	1464	136
915	1465	134
916	1466	132
917	1467	131
918	1469	129
919	1471	127
920	1472	126
921	1473	124
922	1474	123
923	1475	121
924	1476	119
925	1478	118
926	1479	116
927	1480	114
928	1481	113
929	1483	111
930	1484	110
931	1486	108
932	1487	106
933	1488	105
934	1489	103
935	1491	101
936	1492	100
937	1493	98
938	1494	97
939	1495	95
940	1496	93
941	1498	92
942	1499	90
943	1500	89
944	1501	87
945	1503	85
946	1504	84
947	1505	82
948	1506	80
949	1507	79
950	1509	77
951	1510	76
952	1511	74
953	1512	72
954	1514	71
955	1515	69
956	1516	68
957	1517	66
958	1518	64
959	1519	63
960	1521	61
961	1522	60
962	1523	58
963	1525	56
964	1526	55
965	1527	53
966	1528	52
967	1530	50
968	1531	48
969	1532	47
970	1534	45
971	1535	44
972	1536	42
973	1537	41
974	1539	39
975	1540	37
976	1543	36
977	1544	34
978	1546	33
979	1547	31
980	1548	29
981	1550	28
982	1551	26
983	1552	25
984	1554	23
985	1555	22
986	1556	20
987	1558	18
988	1559	17
989	1561	15
990	1562	14
991	1563	12
992	1565	11
993	1566	9
994	1567	7
995	1568	6
996	1570	4
997	1571	3
998	1572	1
999	1574	0
